,deploy_date,retrieve_date,nrec,nday,totmin,location,Hex,Hexagon_ID,Station,Deployment,Owner,GIS_Elev_ft,ElevM,ElevBin,sub
72,7/11/2021,8/20/2021,172,41,5815.572,40632-5,40632,40632,5,7/10/2021,NPS,2955,900.6400488,Mid,0
73,6/10/2021,7/16/2021,148,37,5177.533333,40643-2,40643,40643,2,6/9/2021,NPS,4282,1305.089912,Mid,0
74,6/10/2021,8/9/2021,245,61,8545.9,40643-3,40643,40643,3,6/9/2021,NPS,3540,1078.939348,Mid,0
75,6/10/2021,8/9/2021,247,61,8565.833333,40643-4,40643,40643,4,6/9/2021,NPS,3105,946.3578177,Mid,0
76,6/10/2021,7/21/2021,168,42,5875.856,40643-5,40643,40643,5,6/9/2021,NPS,4358,1328.253581,Mid,0
77,7/10/2021,8/26/2021,197,48,6716.566667,40784-2,40784,40784,2,7/9/2021,NPS,2756,839.9878086,Mid,0
78,7/10/2021,8/26/2021,199,48,6786.499733,40784-3,40784,40784,3,7/9/2021,NPS,2811,856.7509906,Mid,0
79,7/10/2021,8/20/2021,176,42,5955.404533,40784-4,40784,40784,4,7/9/2021,NPS,3219,981.1033222,Mid,0
80,7/10/2021,8/26/2021,198,48,6776.449867,40784-5,40784,40784,5,7/9/2021,NPS,3295,1004.266992,Mid,0
81,6/11/2021,7/21/2021,164,41,5735.922667,40941-2,40941,40941,2,6/10/2021,NPS,4436,1352.026821,High,0
82,6/11/2021,6/28/2021,69,18,2438.833333,40941-3,40941,40941,3,6/10/2021,NPS,3892,1186.223712,Mid,0
83,6/11/2021,6/24/2021,53,14,1879.1,40941-4,40941,40941,4,6/10/2021,NPS,4653,1418.165194,High,0
84,6/11/2021,6/21/2021,44,11,1539.266667,40941-5,40941,40941,5,6/10/2021,NPS,4739,1444.376714,High,0
85,7/9/2021,8/24/2021,196,47,6656.6,41083-1,41083,41083,1,7/8/2021,NPS,1962,597.9884182,Low,0
86,7/9/2021,8/17/2021,168,40,5677.049867,41083-2,41083,41083,2,7/8/2021,NPS,2281,695.2148735,Mid,0
87,7/9/2021,8/24/2021,195,47,6646.6,41083-3,41083,41083,3,7/8/2021,NPS,2206,672.355989,Mid,0
88,7/9/2021,8/24/2021,195,47,6646.6,41083-4,41083,41083,4,7/8/2021,NPS,2153,656.2023773,Mid,0
89,5/12/2021,6/27/2021,185,47,6396.916533,41214-2,41214,41214,2,5/11/2021,NPS,2771,844.5595855,Mid,0
90,5/12/2021,6/29/2021,196,49,6856.733333,41214-3,41214,41214,3,5/11/2021,NPS,2592,790.0030479,Mid,0
91,5/12/2021,6/21/2021,163,41,5675.956267,41214-4,41214,41214,4,5/11/2021,NPS,2121,646.4492533,Low,0
92,5/12/2021,6/29/2021,196,49,6856.733333,41214-5,41214,41214,5,5/11/2021,NPS,2018,615.0563852,Low,0
93,7/10/2021,8/31/2021,221,53,7506.166667,41226-1,41226,41226,1,7/9/2021,NPS,4147,1263.94392,Mid,0
94,7/10/2021,8/31/2021,220,53,7496.2,41226-2,41226,41226,2,7/9/2021,NPS,3949,1203.596464,Mid,0
95,7/10/2021,8/20/2021,174,42,5835.454667,41226-4,41226,41226,4,7/9/2021,NPS,3290,1002.743066,Mid,0
96,7/10/2021,8/31/2021,221,53,7506.166667,41226-5,41226,41226,5,7/9/2021,NPS,2983,909.1740323,Mid,0
97,5/11/2021,7/8/2021,235,59,8196.066667,41367-1,41367,41367,1,5/10/2021,NPS,1794,546.7845169,Low,0
98,5/11/2021,7/1/2021,208,52,7276.533333,41367-3,41367,41367,3,5/10/2021,NPS,675,205.7299604,Low,0
99,5/11/2021,6/23/2021,176,44,6157.066667,41367-4,41367,41367,4,5/10/2021,NPS,686,209.0825968,Low,0
100,5/11/2021,7/8/2021,236,59,8256.033333,41367-5,41367,41367,5,5/10/2021,NPS,1498,456.5681195,Low,0
101,7/9/2021,8/18/2021,172,41,5815.572267,41383-1,41383,41383,1,7/8/2021,NPS,1474,449.2532764,Low,0
102,7/8/2021,8/23/2021,196,47,6656.5832,41383-3,41383,41383,3,7/7/2021,NPS,2413,735.4465102,Mid,0
103,7/8/2021,8/22/2021,192,46,6516.666667,41383-4,41383,41383,4,7/7/2021,NPS,1968,599.8171289,Low,0
104,7/9/2021,8/23/2021,192,46,6516.666667,41383-5,41383,41383,5,7/8/2021,NPS,1433,436.7570863,Low,0
105,6/17/2021,7/28/2021,167,42,5815.855733,41388-1,41388,41388,1,6/16/2021,NPS,4098,1249.009448,Mid,0
106,6/16/2021,7/5/2021,80,20,2798.666667,41388-3,41388,41388,3,6/15/2021,NPS,3812,1161.840902,Mid,0
107,6/16/2021,7/28/2021,172,43,6017.116533,41388-4,41388,41388,4,6/15/2021,NPS,3977,1212.130448,Mid,0
108,6/16/2021,7/31/2021,181,46,6306.916533,41388-5,41388,41388,5,6/15/2021,NPS,4192,1277.65925,Mid,0
109,4/8/2021,5/26/2021,203,49,6926.5,41511-1,41511,41511,1,4/7/2021,NPS,984,299.9085645,Low,0
110,4/8/2021,5/26/2021,201,49,6856.533333,41511-2,41511,41511,2,4/7/2021,NPS,793,241.6946053,Low,0
111,4/8/2021,5/22/2021,187,45,6366.733333,41511-3,41511,41511,3,4/7/2021,NPS,1021,311.1856141,Low,0
112,4/8/2021,5/26/2021,203,49,6926.5,41511-4,41511,41511,4,4/7/2021,NPS,853,259.9817129,Low,0
113,7/10/2021,8/19/2021,173,41,5825.471733,41525-1,41525,41525,1,7/9/2021,NPS,2608,794.8796099,Mid,0
114,7/12/2021,8/21/2021,172,41,5815.5216,41525-3,41525,41525,3,7/11/2021,NPS,1115,339.835416,Low,0
115,7/12/2021,8/30/2021,208,50,7076.3832,41525-4,41525,41525,4,7/11/2021,NPS,2466,751.6001219,Mid,0
116,7/10/2021,8/30/2021,217,52,7366.233333,41525-5,41525,41525,5,7/9/2021,NPS,1317,401.4020116,Low,0
117,7/11/2021,8/24/2021,187,45,6266.733067,41527-1,41527,41527,1,7/10/2021,NPS,3102,945.4434624,Mid,0
118,7/11/2021,8/20/2021,172,41,5815.5552,41527-2,41527,41527,2,7/10/2021,NPS,3359,1023.77324,Mid,0
119,7/11/2021,8/31/2021,216,52,7356.233333,41527-4,41527,41527,4,7/10/2021,NPS,2132,649.8018897,Low,0
120,7/11/2021,8/20/2021,171,41,5755.622133,41527-5,41527,41527,5,7/10/2021,NPS,1734,528.4974093,Low,0
121,5/26/2021,7/11/2021,188,47,6576.849867,41667-2,41667,41667,2,5/25/2021,NPS,1272,387.6866809,Low,0
122,5/26/2021,7/6/2021,168,42,5875.772267,41667-3,41667,41667,3,5/25/2021,NPS,1177,358.7320939,Low,0
123,5/26/2021,6/19/2021,100,25,3498.333333,41667-4,41667,41667,4,5/25/2021,NPS,2048,624.199939,Low,0
124,5/26/2021,6/1/2021,28,7,979.5333333,41667-5,41667,41667,5,5/25/2021,NPS,1086,330.9966474,Low,0
125,5/14/2021,5/22/2021,36,9,1259.4,41686-1,41686,41686,1,5/13/2021,NPS,4480,1365.437367,High,0
126,5/14/2021,6/7/2021,100,25,3498.333333,41686-2,41686,41686,2,5/13/2021,NPS,3945,1202.377324,Mid,0
127,5/14/2021,6/28/2021,184,46,6436.916533,41686-4,41686,41686,4,5/13/2021,NPS,3826,1166.107894,Mid,0
128,5/14/2021,7/20/2021,272,68,9515.466667,41686-5,41686,41686,5,5/13/2021,NPS,3929,1197.500762,Mid,0
129,6/16/2021,8/1/2021,188,47,6576.833333,41695-2,41695,41695,2,6/15/2021,NPS,3241,987.8085949,Mid,0
130,6/16/2021,7/25/2021,160,40,5596.0232,41695-3,41695,41695,3,6/15/2021,NPS,3492,1064.309662,Mid,0
131,6/16/2021,8/3/2021,193,49,6776.766667,41695-4,41695,41695,4,6/15/2021,NPS,3008,916.7936605,Mid,0
132,6/16/2021,8/3/2021,196,49,6856.733333,41695-5,41695,41695,5,6/15/2021,NPS,3232,985.0655288,Mid,0
133,4/9/2021,5/27/2021,202,49,6916.533333,41817-2,41817,41817,2,4/8/2021,NPS,1282,390.7345322,Low,0
134,4/9/2021,5/27/2021,202,49,6866.533333,41817-3,41817,41817,3,4/8/2021,NPS,1729,526.9734837,Low,0
135,4/9/2021,5/27/2021,203,49,6926.5,41817-4,41817,41817,4,4/9/2021,NPS,1327,404.4498628,Low,0
136,4/9/2021,5/27/2021,203,49,6926.5,41817-5,41817,41817,5,4/9/2021,NPS,1179,359.3416641,Low,0
137,6/26/2021,8/12/2021,198,48,6776.549867,41832-2,41832,41832,2,6/25/2021,NPS,3054,930.8137763,Mid,0
138,6/26/2021,8/12/2021,198,48,6776.4832,41832-3,41832,41832,3,6/25/2021,NPS,3570,1088.082902,Mid,0
139,6/26/2021,8/7/2021,166,43,5657.3,41832-4,41832,41832,4,6/25/2021,NPS,3717,1132.886315,Mid,0
140,6/26/2021,8/12/2021,198,48,6776.566667,41832-5,41832,41832,5,6/25/2021,NPS,3224,982.6272478,Mid,0
141,5/2/2021,5/23/2021,66,22,3957.062756,41982-1,41982,41982,1,5/1/2021,NPS,2890,880.8290155,Mid,0
142,5/2/2021,6/26/2021,224,56,7836.249867,41982-2,41982,41982,2,5/1/2021,NPS,2913,887.8390735,Mid,0
143,5/2/2021,6/3/2021,132,33,4617.8,41982-3,41982,41982,3,5/1/2021,NPS,2877,876.8668089,Mid,0
144,5/2/2021,6/5/2021,140,35,4897.666667,41982-4,41982,41982,4,5/1/2021,NPS,2440,743.6757086,Mid,0
145,5/13/2021,6/22/2021,161,41,5657.3,41993-1,41993,41993,1,5/12/2021,NPS,1523,464.1877476,Low,0
146,5/14/2021,7/20/2021,272,68,9515.466667,41993-2,41993,41993,2,5/13/2021,NPS,1677,511.1246571,Low,0
147,5/13/2021,5/13/2021,4,1,139.9333333,41993-4,41993,41993,4,5/12/2021,NPS,1179,359.3416641,Low,0
148,5/13/2021,6/26/2021,180,45,6297,41993-5,41993,41993,5,5/12/2021,NPS,1080,329.1679366,Low,0
149,6/29/2021,8/16/2021,204,49,6936.466667,41997-1,41997,41997,1,6/28/2021,NPS,4415,1345.626333,Mid,0
150,6/29/2021,8/16/2021,204,49,6936.466667,41997-3,41997,41997,3,6/28/2021,NPS,4731,1441.938433,High,0
151,6/29/2021,8/16/2021,204,49,6936.433333,41997-4,41997,41997,4,6/28/2021,NPS,3681,1121.914051,Mid,0
152,6/29/2021,8/16/2021,204,49,6936.466667,41997-5,41997,41997,5,6/28/2021,NPS,5183,1579.701311,High,0
153,6/18/2021,7/12/2021,100,25,3498.333333,42140-2,42140,42140,2,6/17/2021,NPS,3597,1096.3121,Mid,0
154,6/18/2021,8/1/2021,180,45,6297,42140-3,42140,42140,3,6/17/2021,NPS,3418,1041.755562,Mid,0
155,6/18/2021,7/4/2021,68,17,2378.866667,42140-5,42140,42140,5,6/17/2021,NPS,3552,1082.596769,Mid,0
156,4/1/2021,5/12/2021,175,42,5946.9,42145-1,42145,42145,1,3/31/2021,NPS,1507,459.3111856,Low,0
157,4/1/2021,5/12/2021,174,42,5937,42145-3,42145,42145,3,3/31/2021,NPS,1137,346.5406888,Low,0
158,4/1/2021,5/12/2021,175,42,5946.966667,42145-4,42145,42145,4,3/31/2021,NPS,2409,734.2273697,Mid,0
159,4/1/2021,5/12/2021,175,42,5945.454667,42145-5,42145,42145,5,3/31/2021,NPS,1178,359.036879,Low,0
160,6/11/2021,7/22/2021,167,42,5817.233333,42151-1,42151,42151,1,6/10/2021,NPS,3040,926.5467845,Mid,0
161,6/11/2021,6/13/2021,12,3,419.8,42151-2,42151,42151,2,6/10/2021,NPS,3269,996.3425785,Mid,0
162,6/11/2021,7/22/2021,168,42,5877.2,42151-4,42151,42151,4,6/10/2021,NPS,3300,1005.790917,Mid,0
163,6/11/2021,7/7/2021,105,27,3698.233333,42151-5,42151,42151,5,6/10/2021,NPS,2621,798.8418165,Mid,0
164,4/30/2021,6/4/2021,141,36,4957.633333,42155-1,42155,42155,1,4/29/2021,NPS,2687,818.9576349,Mid,0
165,4/30/2021,5/14/2021,60,15,2099,42155-2,42155,42155,2,4/29/2021,NPS,3581,1091.435538,Mid,0
166,4/30/2021,6/14/2021,184,46,6436.933333,42155-3,42155,42155,3,4/29/2021,NPS,2917,889.058214,Mid,0
167,4/30/2021,6/27/2021,236,59,8256.016533,42155-5,42155,42155,5,4/29/2021,NPS,3752,1143.553795,Mid,0
168,5/16/2021,6/9/2021,97,25,3418.366667,42301-1,42301,42301,1,5/15/2021,NPS,2390,728.4364523,Mid,0
169,5/16/2021,6/25/2021,163,41,5675.9392,42301-3,42301,42301,3,5/15/2021,NPS,2297,700.0914355,Mid,0
170,5/16/2021,6/17/2021,129,33,4537.833333,42301-4,42301,42301,4,5/15/2021,NPS,3485,1062.176166,Mid,0
171,5/16/2021,6/28/2021,176,44,6157.066667,42301-5,42301,42301,5,5/15/2021,NPS,2532,771.7159403,Mid,0
172,6/28/2021,8/13/2021,194,47,6636.666667,42307-1,42307,42307,1,6/27/2021,NPS,3999,1218.835721,Mid,0
173,6/28/2021,8/13/2021,192,47,6616.666667,42307-2,42307,42307,2,6/27/2021,NPS,3906,1190.490704,Mid,0
174,6/28/2021,8/13/2021,194,47,6636.633067,42307-4,42307,42307,4,6/28/2021,NPS,3797,1157.269125,Mid,0
175,6/28/2021,8/7/2021,161,41,5606.056533,42307-5,42307,42307,5,6/27/2021,NPS,3766,1147.820786,Mid,0
176,4/30/2021,7/10/2021,284,72,9835.3,42471-1,42471,42471,1,4/29/2021,NPS,3168,965.5592807,Mid,0
177,4/30/2021,6/11/2021,172,43,6017.133333,42471-3,42471,42471,3,4/29/2021,NPS,2827,861.6275526,Mid,0
178,4/30/2021,6/12/2021,176,44,6157.049867,42471-4,42471,42471,4,4/29/2021,NPS,3682,1122.218836,Mid,0
179,4/30/2021,6/10/2021,168,42,5875.7888,42471-5,42471,42471,5,4/29/2021,NPS,3605,1098.750381,Mid,0
180,7/14/2021,9/1/2021,208,50,7076.366667,42618-2,42618,42618,2,7/13/2021,NPS,3276,998.4760744,Mid,0
181,7/14/2021,8/28/2021,190,46,6396.699733,42618-3,42618,42618,3,7/13/2021,NPS,4065,1238.951539,Mid,0
182,7/14/2021,9/1/2021,208,50,7076.4,42618-4,42618,42618,4,7/13/2021,NPS,3605,1098.750381,Mid,0
183,7/14/2021,9/1/2021,208,50,7076.349867,42618-5,42618,42618,5,7/13/2021,NPS,3679,1121.30448,Mid,0
184,5/18/2021,7/27/2021,284,71,9935.266667,42622-1,42622,42622,1,5/17/2021,NPS,3028,922.889363,Mid,0
185,5/18/2021,7/26/2021,280,70,9795.333333,42622-2,42622,42622,2,5/17/2021,NPS,2894,882.048156,Mid,0
186,5/18/2021,5/26/2021,36,9,1259.4,42622-3,42622,42622,3,5/17/2021,NPS,2587,788.4791222,Mid,0
187,5/18/2021,7/26/2021,277,70,9665.4,42622-5,42622,42622,5,5/17/2021,NPS,3356,1022.858884,Mid,0
188,4/29/2021,6/8/2021,165,41,5745.889333,42630-2,42630,42630,2,4/28/2021,NPS,2147,654.3736666,Mid,0
189,4/29/2021,5/4/2021,25,6,849.5666667,42630-3,42630,42630,3,4/28/2021,NPS,2243,683.6330387,Mid,0
190,4/29/2021,6/2/2021,138,35,4827.666667,42630-4,42630,42630,4,4/28/2021,NPS,2262,689.4239561,Mid,0
191,4/29/2021,6/1/2021,133,34,4677.766667,42630-5,42630,42630,5,4/28/2021,NPS,2608,794.8796099,Mid,0
